id	title	url	source_type	publisher	accessed_at	language	authority	snapshot_path	notes
src-daito-profile	Daito Manabe — Profile	https://daito.ws/en/profile/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_profile.html	官方长、短简介；用于核对身份、方法演变、合作对象与当前研究方向。
src-daito-archive-index	Daito Manabe — Archive Index	https://daito.ws/en/archive/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_archive.html	官网历史档案索引；访问时标示 355 条记录、60 条 Featured、跨度 2004–2025。
src-daito-selected-works	Daito Manabe — Selected Works	https://daito.ws/projects/selected-works/en/	artist_official	Studio Daito Manabe	2026-07-27	zh-en	primary	03_sources/snapshots/2026-07-27_selected-works.html	官网策划型精选作品入口；用于核对近年项目的长篇案例、技术结构与制作角色。
src-work-riot-please	riot please “-a/....ha...++”	https://daito.ws/en/archive/riot-please/	artist_official	Studio Daito Manabe	2026-07-27	ja-en	primary	03_sources/snapshots/2026-07-27_riot-please.html	2004 年无响室、多通道听觉与触觉刺激装置记录。
src-work-scorelight	scoreLight	https://daito.ws/en/archive/scorelight/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_scorelight.html	激光与纸面绘画交互系统的官网历史记录。
src-work-electric-stimulus	electricstimulus to face	https://daito.ws/en/archive/electricstimulustoface/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_electric-stimulus.html	2008 年面部电刺激实验的官网历史记录。
src-work-particles	particles	https://daito.ws/en/archive/particles/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_particles.html	真锅大度与石桥素合作的激光追踪装置及 2011/2021 制作团队记录。
src-work-perfume-global-site	Perfume Global Site Project	https://daito.ws/en/archive/perfume_globalsite/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_perfume-global-site.html	2012 年 Perfume 全球站点与数据发布项目记录。
src-work-fencing	Fencing Tracking and Visualization System	https://daito.ws/projects/selected-works/fencing-tracking/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_fencing-tracking.html	2012–2019 年击剑剑尖追踪从标记式动捕到 YOLO v3、多机位 3D 估计的案例。
src-work-sensing-streams	sensing streams — invisible, inaudible	https://daito.ws/en/archive/sensing-streams/	artist_official	Studio Daito Manabe	2026-07-27	ja-en	primary	03_sources/snapshots/2026-07-27_sensing-streams.html	坂本龙一与真锅大度合作，将电磁波流转为声音与图像的装置记录。
src-work-24-drones	“24 drones” ELEVENPLAY × Rhizomatiks Research	https://daito.ws/en/archive/elevenplay-rhizomatiks-research-3-dancers-and-24-drones/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_24-drones.html	三名舞者、24 架无人机、动捕与灯光控制的舞台作品记录。
src-work-bjork-quicksand	Björk “Quicksand” Digital Live Streaming	https://daito.ws/en/archive/bjork-making-of-bjork-digital-livestreaming/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_bjork-quicksand.html	2016 年 360 度 VR 直播表演制作记录。
src-work-light-field-theater	Light Field Theater	https://daito.ws/en/archive/light-field-theater/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_light-field-theater.html	2018 年以 LED、透镜阵列、机器人臂与光场重构真实/虚拟光的装置记录。
src-work-discrete-figures	discrete figures	https://daito.ws/en/archive/discrete-figures/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_discrete-figures.html	Rhizomatiks、ELEVENPLAY、MIKIKO 与 Kyle McDonald 的 2018 年舞蹈/机器学习合作。
src-work-dissonant-imaginary	dissonant imaginary	https://daito.ws/en/archive/dissonant-imaginary/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_dissonant-imaginary.html	2018 年制作、2020 年归档的脑活动与视听重建研究。
src-work-morphecore	morphecore	https://daito.ws/en/archive/morphecore/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_morphecore.html	以 fMRI、脑解码与舞蹈动作重建探索无身体编舞的实验性讲演表演。
src-work-terminal-slam	Squarepusher “Terminal Slam” MV	https://daito.ws/projects/selected-works/terminal-slam/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_terminal-slam.html	城市广告检测、擦除、替换、深度估计与音画同步的 2020 年 MV 案例。
src-work-tokyo2020-2021	TOKYO 2020-2021	https://daito.ws/projects/selected-works/tokyo2020-2021/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_tokyo2020-2021.html	Pavilion Tokyo 2021 中使用新闻评论、GPT-2/rinna 与 VQGAN+CLIP 的生成式装置。
src-work-border-2021	border 2021	https://daito.ws/en/archive/border-2021/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_border-2021.html	观众乘坐程序控制移动载具并佩戴 VR 头显体验的沉浸式舞蹈表演。
src-work-generative-mv	Generative MV	https://daito.ws/projects/selected-works/generative-mv/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_generative-mv.html	观众文本实时改变坂本龙一《Perspective》背景的 AI 音乐影像装置。
src-work-transformirror	Transformirror	https://daito.ws/projects/selected-works/transformirror/en/	artist_official	Studio Daito Manabe	2026-07-27	zh-en	primary	03_sources/snapshots/2026-07-27_transformirror.html	真锅大度与 Kyle McDonald 开发的实时 SDXL Turbo 公共 AI 镜像装置及后续展览记录。
src-work-continuum-resonance	Continuum Resonance	https://daito.ws/projects/selected-works/continuum-resonance/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_continuum-resonance.html	2024 年 VS. 开幕个展，围绕 PolyNodes、3D 建筑数据、观众位置与四件空间声像作品。
src-work-phase-forms	Daito Manabe “Phase Forms” (2025)	https://daito.ws/en/archive/daito-manabe-phase-forms2025/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_phase-forms.html	以数学复节奏、声音合成、实时视觉与激光构成的 75 分钟声像现场。
src-work-bpu	Brain Processing Unit	https://daito.ws/projects/brain-processing-unit/en/	artist_official	Studio Daito Manabe	2026-07-27	en	primary	03_sources/snapshots/2026-07-27_brain-processing-unit.html	SoftBank、真锅大度与东京大学合作的脑类器官/BPU 研究展，含三件作品与研究说明。
src-icc-profile	MANABE Daito — ICC participant archive	https://www.ntticc.or.jp/en/archive/participants/manabe-daito/	museum	NTT InterCommunication Center [ICC]	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_icc-profile.html	机构简介与 ICC 收录作品索引，用于核对早期作品、角色与合作范围。
src-icc-face-visualizer	Face visualizer, instrument, and copy	https://www.ntticc.or.jp/en/archive/works/face-visualizer-instrument-and-copy/	museum	NTT InterCommunication Center [ICC]	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_icc-face-visualizer.html	机构作品解说，核对肌电传感器、电刺激器及把脸作为输入/输出装置的方法。
src-icc-light-field-theater	Light Field Theater	https://www.ntticc.or.jp/en/archive/works/light-field-theater/	museum	NTT InterCommunication Center [ICC]	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_icc-light-field-theater.html	机构作品解说，核对裸眼立体与 computational light 的表演结构。
src-icc-generative-mv	Generative MV (2023)	https://www.ntticc.or.jp/en/archive/works/generative-mv/	museum	NTT InterCommunication Center [ICC]	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_icc-generative-mv.html	机构作品页，含作品机制、展览时间、制作人员与音乐版权信息。
src-jmaf-profile	MANABE Daito — Japan Media Arts Festival awards	https://www.j-mediaarts.jp/award/profile/manabe-daito/index.html	publisher	Japan Media Arts Festival	2026-07-27	ja	institutional	03_sources/snapshots/2026-07-27_jmaf-profile.html	核对 scoreLight、particles、Sensing Streams、discrete figures 等项目的媒体艺术祭获奖或推荐记录。
src-ycam-particles	particles — YCAM press release (2011)	https://www.ycam.jp/asset/pdf/press-release/2011/particles.pdf	museum	Yamaguchi Center for Arts and Media [YCAM]	2026-07-27	ja	institutional	03_sources/snapshots/2026-07-27_ycam-particles.pdf	YCAM 展览新闻资料，核对 2011 年项目背景、艺术家资料与展览语境。
src-ars-terminal-slam	CyberArts 2020 — Terminal Slam	https://ars.electronica.art/keplersgardens/files/2020/09/cyberarts2020.pdf	publisher	Ars Electronica	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_ars-terminal-slam.pdf	核对 Terminal Slam 获 Prix Ars Electronica 2020 Computer Animation Honorary Mention 及制作说明。
src-ars-morphecore	Prix Ars Electronica 2022 — morphechore	https://calls.ars.electronica.art/2022/prix/winners/10598/	publisher	Ars Electronica	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_ars-morphecore.html	核对作品以 fMRI、脑解码与舞蹈重建为核心，并获 2022 Interactive Art + Honorary Mention。
src-ars-bpu	Prix Ars Electronica 2025 — Brain Processing Unit	https://calls.ars.electronica.art/2025/prix/winners/19941/	publisher	Ars Electronica	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_ars-bpu.html	核对 BPU 项目获 2025 S+T+ARTS Prize Honorary Mention。
src-vs-continuum	VS. Opening Exhibition — Continuum Resonance	https://vsvs.jp/en/exhibitions/daito-manabe-new-installation/	gallery	VS.	2026-07-27	en	institutional	03_sources/snapshots/2026-07-27_vs-continuum-resonance.html	核对 2024-09-06 至 10-14 展期、四件作品、PolyNodes 方法、场地与制作名单。
